94.124.200.1,192.168.31.100,443,42038,10,4486
192.168.31.1,192.168.31.100,53,46136,1,79
192.168.31.100,192.168.31.1,46136,53,1,33
87.240.190.70,192.168.31.100,443,33566,1,39
192.168.31.100,94.124.200.1,42038,443,10,2400
87.240.137.164,192.168.31.100,443,34148,1,39
192.168.31.100,192.168.31.1,46805,53,1,33
192.168.31.100,140.82.112.26,51810,443,1,30
192.168.31.1,192.168.31.100,53,46805,1,49
192.168.31.100,34.107.243.93,35842,443,2,0
192.168.31.100,87.240.190.90,37814,443,2,1284
192.168.31.1,192.168.31.100,53,34153,1,49
192.168.31.100,35.186.227.140,51432,443,5,8041
192.168.31.100,87.240.137.164,34148,443,2,39
87.240.129.181,192.168.31.100,443,60280,1,39
87.240.190.90,192.168.31.100,443,37814,1,185
87.240.129.186,192.168.31.100,443,38428,4,727
192.168.31.100,192.168.31.1,34153,53,1,33
192.168.31.100,87.240.129.186,38428,443,4,363
35.186.227.140,192.168.31.100,443,51432,11,227
192.168.31.100,87.240.190.70,33566,443,2,39
140.82.112.26,192.168.31.100,443,51810,2,26
192.168.31.100,87.240.129.181,60280,443,2,39
